Authors,Title,Year,Journal,Abstract,Keywords,Publisher/Editorial,Language,Document Type,DOI,City of publication,TIPO SCOPUS/WOS
28,"Seccatore J.; Flores S.; Oliden J.; Pozo G.; Marin T.",Macroscopic and Microscopic Investigation on Microfractures in Blast-Conditioned Rock and the Influence of Particle Size,2026,Applied Sciences (Switzerland),"In the mining industry, particle size reduction is the most energy-demanding activity. Blasting represents the first stage of comminution. Experimental and field observations have demonstrated that blasting produces two main effects on rock: (i) macroscopic fracturing and fragmentation, and (ii) microscopic fracturing, consisting of a network of microfractures that weaken the rock, reduce the specific Work Index, and make the material less resistant to crushing and milling. The present work represents an initial investigation into the relationship between blast-induced microfracturing, fragment size, and mechanical resistance. Blasted rock was analyzed using three approaches: macroscopic testing via point load tests, laboratory grinding tests using a Bond ball mill to determine the blasted Work Index, and microscopic optical observation of microfractures. The results show that macroscopic testing is unable to detect microscopic weakening, as no correlation was observed between point load strength and particle size. In contrast, laboratory ball mill tests and microscopic optical observations indicate a preliminary relationship between particle size and the internal weakening of particles. These results allow the formulation of a new hypothesis: that the Work Index may not be constant within a given volume of blasted rock and could depend on the particle size distribution. © 2026 by the authors.","blast-induced microfracturing; blasted fragment size; comminution energy; grinding behavior; mechanical resistance; rock fragmentation",Multidisciplinary Digital Publishing Institute (MDPI),English,Article,10.3390/app16020655,Chile,Scopus
29,"Grenon M.; Karampinos E.; Durham C.; Liao J.K.; Grenon J.B.; Dorion J.-F.; Tuleau J.",Integrated risk-based design approach for wedge hazard in underground mining drifts,2026,Canadian Geotechnical Journal,"Structurally controlled rock instability is one of the most critical types of ground failure in underground excavations under low-stress conditions. Typical stability analysis approaches consider a series of simplifications related to the geometry of the rock discontinuities and the excavation. These methods cannot fully determine the probability of occurrence and size of wedges formed at the excavation walls, which is critical for quantifying the hazard associated with wedge failure in underground mines. This paper presents a comprehensive and systematic approach for assessing wedge formation and stability around underground mining excavations. The work considers the complexity of the structural regime using DFN modelling and the detailed 3D underground excavation profile obtained from surveying. The developed approach was successfully applied in an operating underground mine, enabling the estimation of the location and size of the most critical wedges and quantification of the risk associated with wedge formation. Determining the possible magnitude and location of formed wedges is invaluable information for designing drift geometry and rock reinforcement strategies. The DFN-based risk analysis was combined with economic metrics, providing a comprehensive risk analysis related to wedge failure at the underground mine. The developed approach contributes to optimizing ground support systems under low-stress conditions. © 2026 The Authors.","discrete fracture network (DFN); financial impact analysis; ground support; mining excavation; structural wedge failure",Canadian Science Publishing,English,Article,10.1139/cgj-2025-0245,Canada,Scopus
30,"de Alencar Monteiro V.M.; de Andrade Silva F.",On the design of the fiber reinforced shotcrete applied as primary rock support in the Cuiabá underground mining excavations: A case study,2021,Case Studies in Construction Materials,"The Cuiabá mine is an underground gold operation located in Sabará (Minas Gerais, Brazil), which began to use fiber reinforced shotcrete as rock support since 2012. In order to carry on a mechanical analysis and to design the steel and polypropylene fiber reinforced shotcrete linings, the work in hand presents an experimental investigation on the mechanical behavior of the applied composite material inside the Cuiabá mine. Through standardized panel tests, the paper evaluates the toughness performance levels for each studied fiber reinforced shotcrete and applies the current design guidelines for mining works. Based on the rock mass classification of the analyzed mine slopes, while the use of 4.2 kg/m3 of polypropylene fiber volume fractions seems to be suitable where fair rock quality is observed, the addition of 25 kg/m3 of steel fibers is more indicated where severe ground movement is expected. On the other hand, a mismatch between the standardized panel tests (ASTM C1550 and EN 14488-5) on the shotcrete design guidelines was also assessed in the present research. The analyzed fiber reinforced shotcrete received different classifications depending on the used standardized panel test, resulting on an overestimation of the PP fiber reinforced shotcrete for the square panel tests. Safety factors can be applied in order to mitigate the possible mismatch between square and round panel tests. © 2021 The Authors","Design; Fiber reinforced shotcrete; Rock support; Round and square panel tests",Elsevier Ltd,English,Article,10.1016/j.cscm.2021.e00784,Brazil,Scopus
31,"Zhao Y.; Xu H.; Yang T.; Wang S.; Sun D.",A hybrid recognition model of microseismic signals for underground mining based on CNN and LSTM networks,2021,"Geomatics, Natural Hazards and Risk","Microseismic (MS) monitoring technology has been widely used to monitor ground pressure disasters. However, the underground mining environment is complex and contains many types of noise sources. Furthermore, the traditional recognition method entails a complex process with low recognition accuracy for MS signals, so it is difficult to serve for the safe production of mines. Therefore, this study established a hybrid model combining the singular spectrum analysis (SSA) method, convolutional neural networks (CNN), and long short-term memory networks (LSTM). First, the principal components of monitoring signals were extracted with the SSA method, and then spatial and temporal features of monitoring signals were separately extracted with the CNN and LSTM. Based on actual field data collected from Xiadian Gold Mine, the hybrid model was compared with the CNN, LSTM, and back-propagation networks (BP), as well as commonly used recognition methods including the support vector machine (SVM), decision tree (DT), K-nearest neighbor (KNN), and linear discriminant analysis (LDA). The results show that the proposed hybrid model can accurately extract data features of monitoring signals and further improve MS signals' recognition performance. Furthermore, the recognition accuracy of mechanical signals in monitoring signals is particularly increased using the hybrid model, which avoids confusion with MS signals. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","convolutional neural networks; long short-term memory; Mine microseismic monitoring; signal recognition",Taylor and Francis Ltd.,English,Article,10.1080/19475705.2021.1968043,China,Scopus
32,"Xiong C.; Wu Q.; Cui F.; Luo W.; Li H.; Chen H.","Damage features and dynamic triggering mechanism of the Jianshanying landslide induced by underground mining in Shuicheng County, Guizhou Province, China",2024,"Geomatics, Natural Hazards and Risk","Extensive mining of mineral resources in the mountainous areas of southwestern China has caused frequent occurrences of landslides, threatening social and economic development. Therefore, further research on the formation mechanism of such landslides is urgently investigated. Using detailed geological investigations, a numerical simulation, and related theoretical analysis reveal the dynamic triggering mechanism, influencing factors, and mechanical evolution model of the Jianshanying landslide under the coupled action of heavy rainfall and mine blasting vibrations. Results showed the following: First, rainfall of about 5 days, which nearly saturated the slope, and nearly 3 blasting cycles (peak horizontal and vertical velocities of 0.3375 and 0.1573 cm/s, respectively) executed close to it were the main controlling factors inducing the landslide. Second, the macroscopic deformation of the slope manifested obvious subsidence and tipping, and the maximum vertical and horizontal displacements of the slope shoulder reached 13.466 and 2.961 m, respectively. Third, the critical failure of the slope occurred at 15 s in the dynamic analysis, and its subsequent responses involved disintegration and fragmentation, debris flow, scraping of the sliding bed, and self-stabilized accumulation. Finally, its mechanical evolution model was divided into the subsidence stage and the shear-tension stage. These results provide technical support for early identification and risk management of geological hazards in mines in southwestern China. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","block discrete element method simulation; dynamic triggering mechanism; Jianshanying landslide; mine blasting vibrations; multi-layer shallow coal seam; underground mining-induced landslide",Taylor and Francis Ltd.,English,Article,10.1080/19475705.2023.2301060,China,WoS
33,"Hou C.; Li X.; Chen Y.; Li W.; Liu K.; Dong L.; Sun D.",Optimization and Numerical Verification of Microseismic Monitoring Sensor Network in Underground Mining: A Case Study,2024,Mathematics,"A scientific and reasonable microseismic monitoring sensor network is crucial for the prevention and control of rockmass instability disasters. In this study, three feasible sensor network layout schemes for the microseismic monitoring of Sanshandao Gold Mine were proposed, comprehensively considering factors such as orebody orientation, tunnel and stope distributions, blasting excavation areas, construction difficulty, and maintenance costs. To evaluate and validate the monitoring effectiveness of the sensor networks, three layers of seismic sources were randomly generated within the network. Four levels of random errors were added to the calculated arrival time data, and the classical Geiger localization algorithm was used for locating validation. The distribution of localization errors within the monitoring area was analyzed. The results indicate that when the arrival time data are accurate or the error is between 0% and 2%, scheme 3 is considered the most suitable layout; when the error of the arrival time data is between 2% and 10%, scheme 2 is considered the optimal layout. These research results can provide important theoretical and technical guidance for the reasonable design of microseismic monitoring systems in similar mines or projects. © 2024 by the authors.","error distribution; microseismic monitoring; numerical model; sensor network optimization",Multidisciplinary Digital Publishing Institute (MDPI),English,Article,10.3390/math12223500,China,WoS
34,"Saadat M.; Khishvand M.; Seccombe A.",FLAC3D Simulation of Caving Mechanism and Strata Fracture Response in Underground Mining,2024,Mining,"This paper presents an innovative numerical approach to simulating the progressive caving of rock mass in the overburden and floor during longwall mining. A modified caving algorithm is incorporated into FLAC3D 9.0, augmented with the IMASS constitutive model, to accurately replicate the fracturing response of various strata. This study aimed to analyze the longwall caving performance, overburden fracturing response, and shield support characteristics to optimize the mining process and enhance safety. The numerical analysis revealed a progressive stress release at the longwall face, attributed to damage in the form of spalling, which was accompanied by a high level of displacement. The fracture process zone above the shield canopy was not significant, indicating the effective performance of the shield in controlling the roof. However, the floor heave highlights the need for the implementation of effective risk and safety measures. Goaf is predicted to form with a longwall advance rate of 25.0–30.0 m, resulting from progressive macroscopic fracturing caused by the development of cracks initiated by bedding plane and rock mass failures. Above the caved zone, an active fracture zone is observed to evolve due to the continuous longwall mining and caving process. © 2024 by the authors.","caving simulation; deep mining; numerical modeling; rock mass fracture",Multidisciplinary Digital Publishing Institute (MDPI),English,Article,10.3390/mining4040046,Australia,Scopus
35,"Nguyen P.D.; Nguyen H.H.; Dam H.H.; Nguyen M.V.; Osinski P.; Koda E.",A Study on the Results of Risk Analyses Applying the Concept of Rock Mass Stand-Up Time for Underground Mining Sites,2024,Applied Sciences (Switzerland),"Throughout all the countries in the world, including Vietnam, nations with well-established mining industries have undertaken extensive research on the stability of rock masses when constructing underground tunnels in varied geological conditions. The present study aims to provide a comprehensive overview of the risk assessment related to rock masses during the construction of pit lines in mining operations. Consequently, the standing time of unsupported tunnels is assessed based on different values of the strength index and deformation characteristics of the rock mass. The objective was to perform both experimental and theoretical investigations to analyse how the stand-up time of rock masses surrounding a tunnel affects the unsupported span. The analyses were based on considering the rock parameters, including strain modulus; geological strength index; and allowable displacement values, and consideration of hereditary creep properties. By examining tunnels excavated in rock strata, it was concluded that varying geological strength index values resulted in distinct creep behaviour in the surrounding rock masses. Thus, it was reasonable to compute the unsupported span and stand-up time of tunnels. The research revealed that permissible displacements are significantly influenced by the types of rock materials surrounding the tunnel structure. Recognising the significance of time, the authors introduce a more practical interpretation and evaluation of the stability of rock masses, thus enhancing the precision of commonly available models. © 2024 by the authors.","GSI; modulus; risk; rock mass; stand-up time; underground mines",Multidisciplinary Digital Publishing Institute (MDPI),English,Article,10.3390/app14051736,Poland,WoS
36,"Szojda L.; Strzałkowski P.",Numerical analysis of building damage caused by the exposure of a terrain threshold as a result of underground mining-induced subsidence,2025,Scientific Reports,"Underground mining exploitation causes deformations on the ground surface as a result of the filling of the resulting voids. In certain situations, apart from mild continuous deformations, discontinuous deformations may occur in the form of, e.g., steps in the ground. Unexpectedly occurring discontinuous deformations cause significant damage to buildings protected against the influence of continuous deformations, but do not lead to their complete destruction. For this reason, the aim of this paper is to present a numerical analysis of such an impact case, which, on the one hand, is sufficiently accurate and reflects the behaviour of the real structure, and on the other hand, it will be a guide for experts who will aim to determine the safety of similar structures. In the presented case, the multiple longwall mining of coal ended in the same place resulting in the formation of a step in the ground about 15 cm high under a residential building. Not protected building against such deformations, suffered significant damage. The numerical analysis of the residential building was carried out with the advanced ATENA software package. In order to accurately represent the building and the impacts, the structure and the surrounding ground were modelled. The structure of building and the ground were modelled with tetrahedron- and hexahedral-shaped volumetric elements. On the contact surface of the structure elements and the ground, flat contact elements were used. The loads on the structure were introduced in the form of displacements caused by the appearance of a terrain threshold. The results of numerical calculations are presented in the form of color stress maps. The obtained calculation results are very close to the actual damages, which confirms the correctness of the analysis. © The Author(s) 2025.","Discontinuous ground deformations; Finite element method; Numerical analysis of the building; Soil-structure interaction; Step in ground; Structure cracking",Nature Research,English,Article,10.1038/s41598-025-96648-6,Poland,WoS
37,"Lan X.; Wang Y.; Wang X.; Geng J.",Study on the Destabilisation Pattern and Volumetric Water Content Evolution Characteristics of Underground Mining Rock Formations Under Heavy Rainfall Conditions,2025,Water (Switzerland),"In order to study the stability of rock layers and the change in volumetric water content at different stages of mining under an environment of heavy rainfall, a self-developed large-scale open-pit-to-underground-mining similar physical model was used, and the intensity of continuous rainfall was set at 40 mm/h. The results of this study show that fissures accelerated the instability of rock strata, and when spreading to different rock strata, they were prone to form subsidence cracks and produce collapse zones. The volumetric water content is closely related to the stability of the rock formation. An ‘arch-shaped collapse zone’ was formed in an interval of (0.9~1.8 m), and a convex spreading zone of volumetric water content was formed in an interval of (1.2~1.6 m). The infiltration line shows different diffusion patterns in different mining stages. In the early stage of mining, the volumetric water content infiltration line is roughly parallel to the slope; in the middle stage of mining, the infiltration line diffuses parallel to the two ends of the interface with the slope and diffuses convexly in the middle; in the late stage of mining, the infiltration line shows a pattern of rapid diffusion in the lower area, rapid diffusion in the middle area, and slow diffusion in the middle area. Therefore, in the process of the mining stage, it is necessary to focus on mining area fissure changes and monitor the point water content for sudden changes and other indicators. This study has certain guiding significance for safe production. © 2025 by the authors.","numerical simulation; open-pit-to-underground mining; rock layer destabilisation; similar tests; volumetric water content",Multidisciplinary Digital Publishing Institute (MDPI),English,Article,10.3390/w17020136,China,Scopus
38,"Liu X.; Chen C.; Liu X.; Xia K.; Wang T.",Investigation of the Deformation Failure Occurring When Extracting Minerals via Underground Mining: A Case Study,2022,Minerals,"Metal mines mined using the sublevel caving method often exhibit various environmental problems on the ground surface. This can affect the safety of the production process in the mining area. A numerical model using Universal Distinct Element Code has been established to investigate deformation failure giving rise to this underground mining. The calculations are combined with in-situ monitoring data collected over a period of 10 years. The results indicate that the strata movement in the footwall can be divided into two stages: an arch caving development stage and post arch caving development stage. Mining disturbance is the main cause of caving in the arch caving development stage. The overlying strata experience ‘caving–stability–caving’, leading to the formation of an ‘arch-shaped’ caving pattern. In the post arch caving development stage, flexural-toppling deformation occurs in the strata in the direction of the collapse pit due to the tectonic stress present and high dip angles of the discontinuities. Through-going failure surface has been analyzed by studying the plastic state and displacement of elements. The formation of through-going failure surface is related to the flexural-toppling deformation and stress concentration caused by mining activities. Based on the different failure mechanisms, an efficient partition has been proposed such that the footwall can be divided into a stable zone, flexural-toppling failure zone, compression and slipping-toppling failure zone, and shear-slipping failure zone. The results are a useful reference when applied to the Chengchao Iron Mine and other similar metal mines. © 2022 by the authors.","deformation failure; metal mine; mining disturbance; numerical simulation; strata movement; sublevel caving method; underground orebody excavation",MDPI,English,Article,10.3390/min12081025,China,Scopus
39,"Bazaluk O.; Petlovanyi M.; Zubko S.; Lozynskyi V.; Sai K.",Instability assessment of hanging wall rocks during underground mining of iron ores,2021,Minerals,"The paper presents the study of the deformation processes development in unstable rocks of the hanging wall during mining a thick steeply dipping ore deposit in the example of the Yuzhno-Belozerskyi deposit. In the studied field, there are problems of stability of hanging wall rocks, represented by low-resistant shale rocks that do not withstand significant outcrops in time. A decrease in stability is manifested in the form of failure of the hanging wall rocks into the stope. Based on a detailed study of the ore deposit geological structure and the performance of the stopes mining, according to the survey data, an area of the deposit has been identified where the ore failure and dilution reach 4%–8% with a maximum value of 12%. This also makes it possible to determine the most important averaged source data for performing physical modeling on equivalent materials. It has been determined that the deformation value of the hanging wall rocks with subsequent failure into the stope and ore mass deformation in the sloping bottom change exponentially with an increase in the depth of the stope location, and the dynamics of increasing rock deformations in the hanging wall is noticeably higher than in the sloping bottom of the stope. This reduces the quality of the mined ore and increases the probability of rock failure area propagation to the hanging wall drifts with their subsequent destruction. The results of physical modeling are characterised by acceptable reliability and are confirmed by a high similarity with the actual data on ore dilution with broken rocks during the stopes development. It has been found that during the formation of a steeply dipping outcrop of stopes with an area of 1200 m2, unstable rocks of the hanging wall are prone to failure of significant volumes. For successful mining and achieving stope element stability, it is recommended to optimise its parameters, the height, width and the value of a steeply dipping outcrop, as well as to preserve the ore pillar in the hanging wall until the ore is broken and drawn from the rest of the stope. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Deformations; Dilution; Equivalent materials; Failure; Hanging wall; Low stability; Ore deposit; Physical modeling; Rocks; Ukraine",MDPI AG,English,Article,10.3390/min11080858,Ukraine,Scopus
40,"Zhou Q.; Liu D.; Lin X.",Pre-evaluation of fault stability for underground mining based on geomechanical fault-slip analysis,2022,"Geomatics, Natural Hazards and Risk","In underground near-fault mining, fault reactivation is related to many kinds of mine disasters such as mine water inrush, mine earthquakes, gas outburst, rock burst, roof collapse. pre-evaluation of fault stability in the pre-mining phase is of great significance for predicting possible mine fault-related disasters. In this study, based on the geomechanical analysis of fault slip tendency, a technique to the pre-mining evaluation of fault stability under Andersonian stress system was introduced by extending the original Morris’s theory of fault slip-tendency, effects of fault orientation, in-situ stress and pore fluid pressure on fault stability were analyzed. Taking Shilin coal mine as the research background, a pre-evaluation on the stability of all 15 faults distributed in the whole coalfield at the mining depths of 369 and 514 m was conducted, the analysis results demonstrated that all faults in the Shilin coalfield are quite stable at the two mining depths. The work presented in this study is practical and can provide a quantitative geomechanical way in the analysis of pre-mining fault stability and in the risk pre-assessment of fault-related mine disasters. © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","fault slip analysis; fault stability; mine disaster; Pre-mining",Taylor and Francis Ltd.,English,Article,10.1080/19475705.2022.2032401,China,Scopus
